Tiempo;average(B);average(A)
(ms);(V);(V)

-21,48043076;-0,00612189;-0,13004030
-21,47019076;-0,00614230;-0,13425310
-21,45995076;-0,00615438;-0,13833240
-21,44971076;-0,00613560;-0,14257660
-21,43947076;-0,00613211;-0,14663710
-21,42923076;-0,00616891;-0,15032530
-21,41899076;-0,00616486;-0,15455650
-21,40875076;-0,00616730;-0,15854130
-21,39851076;-0,00616406;-0,16288310
-21,38827076;-0,00617697;-0,16577800
-21,37803076;-0,00617802;-0,16941870
-21,36779076;-0,00618100;-0,17326490
-21,35755076;-0,00615870;-0,17740460
-21,34731076;-0,00618530;-0,18118480
-21,33707076;-0,00619710;-0,18458770
-21,32683076;-0,00618583;-0,18847190
-21,31659076;-0,00618878;-0,19228880
-21,30635076;-0,00617481;-0,19608080
-21,29611076;-0,00618073;-0,19924440
-21,28587076;-0,00619657;-0,20291550
-21,27563076;-0,00620596;-0,20687730
-21,26539076;-0,00618044;-0,21030190
-21,25515076;-0,00619039;-0,21438740
-21,24491076;-0,00621000;-0,21752730
-21,23467076;-0,00621350;-0,22137950
-21,22443076;-0,00619603;-0,22541040
-21,21419076;-0,00618878;-0,22932460
-21,20395076;-0,00620784;-0,23298330
-21,19371076;-0,00619765;-0,23573360
-21,18347076;-0,00620355;-0,23898860
-21,17323076;-0,00617992;-0,24239190
-21,16299076;-0,00620382;-0,24549580
-21,15275076;-0,00620973;-0,24951370
-21,14251076;-0,00621028;-0,25264060
-21,13227076;-0,00620033;-0,25546060
-21,12203076;-0,00620570;-0,25924800
-21,11179076;-0,00620919;-0,26239870
-21,10155076;-0,00620623;-0,26608090
-21,09131076;-0,00619577;-0,26892780
-21,08107076;-0,00621268;-0,27181790
-21,07083076;-0,00620812;-0,27486650
-21,06059077;-0,00621727;-0,27801300
-21,05035077;-0,00619819;-0,28140900
-21,04011077;-0,00618932;-0,28479910
-21,02987077;-0,00618690;-0,28789050
-21,01963077;-0,00622208;-0,28992180
-21,00939077;-0,00620974;-0,29326850
-20,99915077;-0,00620787;-0,29644920
-20,98891077;-0,00620061;-0,29931920
-20,97867077;-0,00621727;-0,30257480
-20,96843077;-0,00620815;-0,30509920
-20,95819077;-0,00619039;-0,30724480
-20,94795077;-0,00619308;-0,30997010
-20,93771077;-0,00620651;-0,31266530
-20,92747077;-0,00619468;-0,31490950
-20,91723077;-0,00620115;-0,31789700
-20,90699077;-0,00618717;-0,32084180
-20,89675077;-0,00619282;-0,32329870
-20,88651077;-0,00619522;-0,32515170
-20,87627077;-0,00620194;-0,32768120
-20,86603077;-0,00617186;-0,33015060
-20,85579077;-0,00619254;-0,33256600
-20,84555077;-0,00619228;-0,33502310
-20,83531077;-0,00618718;-0,33737050
-20,82507077;-0,00619416;-0,33969500
-20,81483077;-0,00618339;-0,34174910
-20,80459077;-0,00620838;-0,34378310
-20,79435077;-0,00619550;-0,34579770
-20,78411077;-0,00618180;-0,34767250
-20,77387077;-0,00617831;-0,34974290
-20,76363077;-0,00619416;-0,35123050
-20,75339077;-0,00617885;-0,35337640
-20,74315077;-0,00616218;-0,35607150
-20,73291077;-0,00617105;-0,35794860
-20,72267077;-0,00615574;-0,35943040
-20,71243077;-0,00617427;-0,36101600
-20,70219077;-0,00616970;-0,36283280
-20,69195077;-0,00616835;-0,36495530
-20,68171077;-0,00614525;-0,36664970
-20,67147077;-0,00616701;-0,36874690
-20,66123077;-0,00616782;-0,37053340
-20,65099077;-0,00616487;-0,37282640
-20,64075077;-0,00615440;-0,37426530
-20,63051077;-0,00615949;-0,37568470
-20,62027077;-0,00615439;-0,37678220
-20,61003077;-0,00615413;-0,37776940
-20,59979077;-0,00614875;-0,37900150
-20,58955077;-0,00614688;-0,38011680
-20,57931077;-0,00615842;-0,38172700
-20,56907077;-0,00614338;-0,38292770
-20,55883077;-0,00614660;-0,38445710
-20,54859077;-0,00614501;-0,38537120
-20,53835077;-0,00614123;-0,38644360
-20,52811077;-0,00615008;-0,38712050
-20,51787077;-0,00613426;-0,38826630
-20,50763077;-0,00612565;-0,38921150
-20,49739077;-0,00613075;-0,39051680
-20,48715077;-0,00614793;-0,39164440
-20,47691077;-0,00614500;-0,39254690
-20,46667077;-0,00611893;-0,39344880
-20,45643077;-0,00612779;-0,39427180
-20,44619077;-0,00613129;-0,39517300
-20,43595077;-0,00613154;-0,39569020
-20,42571077;-0,00610898;-0,39628760
-20,41547077;-0,00611247;-0,39645220
-20,40523077;-0,00611813;-0,39722530
-20,39499077;-0,00613665;-0,39743240
-20,38475077;-0,00611919;-0,39777370
-20,37451077;-0,00610309;-0,39833380
-20,36427077;-0,00612646;-0,39855270
-20,35403077;-0,00612940;-0,39911940
-20,34379077;-0,00612725;-0,39915550
-20,33355077;-0,00610390;-0,39974110
-20,32331077;-0,00609771;-0,39992340
-20,31307077;-0,00612726;-0,40006320
-20,30283077;-0,00611652;-0,39999680
-20,29259077;-0,00608804;-0,40003300
-20,28235077;-0,00609880;-0,40005780
-20,27211077;-0,00610631;-0,39991080
-20,26187077;-0,00610445;-0,40005090
-20,25163077;-0,00608832;-0,40008100
-20,24139077;-0,00609531;-0,39997770
-20,23115077;-0,00610120;-0,39964860
-20,22091077;-0,00609180;-0,39939290
-20,21067077;-0,00608696;-0,39918510
-20,20043077;-0,00608589;-0,39915440
-20,19019077;-0,00607112;-0,39892810
-20,17995077;-0,00608993;-0,39877580
-20,16971077;-0,00607919;-0,39843510
-20,15947077;-0,00606763;-0,39800240
-20,14923077;-0,00606843;-0,39745940
-20,13899077;-0,00608750;-0,39683140
-20,12875077;-0,00607837;-0,39617950
-20,11851077;-0,00606817;-0,39527060
-20,10827077;-0,00607085;-0,39436150
-20,09803077;-0,00606520;-0,39361780
-20,08779077;-0,00606898;-0,39265340
-20,07755077;-0,00605742;-0,39191550
-20,06731077;-0,00605741;-0,39118960
-20,05707077;-0,00606116;-0,39031170
-20,04683077;-0,00604747;-0,38935520
-20,03659077;-0,00606465;-0,38842880
-20,02635077;-0,00604397;-0,38742840
-20,01611077;-0,00605044;-0,38596500
-20,00587077;-0,00605284;-0,38470860
-19,99563077;-0,00605231;-0,38393400
-19,98539077;-0,00603728;-0,38337230
-19,97515077;-0,00603028;-0,38235430
-19,96491077;-0,00603456;-0,38122120
-19,95467077;-0,00605366;-0,37947710
-19,94443077;-0,00604316;-0,37790400
-19,93419077;-0,00603027;-0,37612270
-19,92395077;-0,00603351;-0,37441440
-19,91371077;-0,00602008;-0,37269500
-19,90347077;-0,00603780;-0,37081100
-19,89323077;-0,00602006;-0,36907820
-19,88299077;-0,00600717;-0,36801070
-19,87275077;-0,00602867;-0,36663270
-19,86251077;-0,00601710;-0,36491950
-19,85227077;-0,00601443;-0,36263290
-19,84203077;-0,00601095;-0,36093740
-19,83179077;-0,00600261;-0,35919910
-19,82155077;-0,00601335;-0,35754280
-19,81131077;-0,00601766;-0,35573450
-19,80107077;-0,00599509;-0,35331180
-19,79083077;-0,00599832;-0,35186180
-19,78059077;-0,00600610;-0,35008170
-19,77035077;-0,00599725;-0,34842830
-19,76011077;-0,00598945;-0,34558680
-19,74987077;-0,00597360;-0,34363510
-19,73963077;-0,00598757;-0,34159840
-19,72939077;-0,00599668;-0,33923720
-19,71915077;-0,00597681;-0,33657970
-19,70891077;-0,00597279;-0,33473890
-19,69867077;-0,00597736;-0,33251290
-19,68843077;-0,00599536;-0,33006710
-19,67819077;-0,00598890;-0,32760950
-19,66795077;-0,00596689;-0,32532280
-19,65771077;-0,00595723;-0,32270600
-19,64747077;-0,00597601;-0,32005340
-19,63723077;-0,00596366;-0,31792600
-19,62699077;-0,00595400;-0,31581010
