Tiempo;average(B);average(A)
(ms);(V);(V)

-18,54764453;-0,32270180;-0,07153536
-18,53740453;-0,32872930;-0,07415999
-18,52716453;-0,33503510;-0,07629604
-18,51692453;-0,34119030;-0,08093218
-18,50668453;-0,34583950;-0,08708601
-18,49644453;-0,35063650;-0,09140924
-18,48620453;-0,35525000;-0,09494377
-18,47596453;-0,35897430;-0,10007030
-18,46572453;-0,36306380;-0,10684540
-18,45548453;-0,36616850;-0,11032460
-18,44524453;-0,36979920;-0,11185060
-18,43500453;-0,37309270;-0,11539070
-18,42476453;-0,37586160;-0,12210460
-18,41452453;-0,37795500;-0,12637710
-18,40428453;-0,37995720;-0,12894070
-18,39404453;-0,38171170;-0,13211460
-18,38380453;-0,38361840;-0,13931700
-18,37356453;-0,38552380;-0,14481030
-18,36332453;-0,38715290;-0,14676340
-18,35308453;-0,38905860;-0,14944910
-18,34284453;-0,39115190;-0,15506450
-18,33260453;-0,39253660;-0,16019170
-18,32236453;-0,39435230;-0,16427920
-18,31212453;-0,39570610;-0,16714220
-18,30188453;-0,39699840;-0,17225630
-18,29164453;-0,39819710;-0,17810820
-18,28140453;-0,39915020;-0,18164660
-18,27116453;-0,40025690;-0,18341640
-18,26092453;-0,40133270;-0,18744480
-18,25068453;-0,40216340;-0,19336520
-18,24044453;-0,40308560;-0,19733260
-18,23020453;-0,40419350;-0,20081160
-18,21996453;-0,40508560;-0,20404650
-18,20972453;-0,40597860;-0,21137090
-18,19948453;-0,40659370;-0,21680310
-18,18924453;-0,40739460;-0,21851210
-18,17900453;-0,40837890;-0,22113690
-18,16876453;-0,40896360;-0,22669150
-18,15852453;-0,41004090;-0,23261230
-18,14828453;-0,41031770;-0,23633570
-18,13804453;-0,41084130;-0,24024040
-18,12780453;-0,41145630;-0,24645780
-18,11756453;-0,41222580;-0,25187640
-18,10732453;-0,41219480;-0,25431170
-18,09708453;-0,41268770;-0,25571450
-18,08684453;-0,41305670;-0,26035330
-18,07660454;-0,41361130;-0,26560240
-18,06636454;-0,41407340;-0,27024110
-18,05612454;-0,41431950;-0,27274360
-18,04588454;-0,41453490;-0,27585670
-18,03564454;-0,41493530;-0,28141110
-18,02540454;-0,41502770;-0,28763690
-18,01516454;-0,41533570;-0,29038370
-18,00492454;-0,41564370;-0,29270290
-17,99468454;-0,41579770;-0,29648720
-17,98444454;-0,41622770;-0,30216360
-17,97420454;-0,41659750;-0,30606980
-17,96396454;-0,41678240;-0,30930470
-17,95372454;-0,41718250;-0,31449330
-17,94348454;-0,41736660;-0,31955950
-17,93324454;-0,41761290;-0,32377140
-17,92300454;-0,41788970;-0,32602850
-17,91276454;-0,41804320;-0,32882960
-17,90252454;-0,41835110;-0,33400400
-17,89228454;-0,41844370;-0,33943030
-17,88204454;-0,41887420;-0,34327310
-17,87180454;-0,41890490;-0,34528710
-17,86156454;-0,41899720;-0,35114650
-17,85132454;-0,41942760;-0,35688400
-17,84108454;-0,41955070;-0,36127870
-17,83084454;-0,41961200;-0,36243820
-17,82060454;-0,41976590;-0,36573410
-17,81036454;-0,41979660;-0,36957930
-17,80012454;-0,42016570;-0,37562200
-17,78988454;-0,42013480;-0,37867380
-17,77964454;-0,42053410;-0,38129820
-17,76940454;-0,42059590;-0,38557060
-17,75916454;-0,42065740;-0,39136900
-17,74892454;-0,42077990;-0,39600770
-17,73868454;-0,42056500;-0,39789970
-17,72844454;-0,42118000;-0,39960860
-17,71820454;-0,42124130;-0,40320810
-17,70796454;-0,42099550;-0,40869380
-17,69772454;-0,42167180;-0,41319840
-17,68748454;-0,42145680;-0,41569310
-17,67724454;-0,42151810;-0,41795080
-17,66700454;-0,42191780;-0,42417630
