Tiempo;average(A);average(B)
(ms);(V);(V)

-18,24330369;-0,19769420;-0,31271320
-18,23306369;-0,20087030;-0,44929820
-18,22282369;-0,20427690;-0,57838210
-18,21258369;-0,21042760;-0,70355930
-18,20234369;-0,21531190;-0,82232920
-18,19210369;-0,21837270;-0,93656880
-18,18186369;-0,22107890;-1,04723600
-18,17162369;-0,22612640;-1,15274500
-18,16138369;-0,23141370;-1,25449200
-18,15114369;-0,23588480;-1,34482100
-18,14090369;-0,24047010;-1,41139400
-18,13066370;-0,24557010;-1,44280600
-18,12042370;-0,25102110;-1,45030700
-18,11018370;-0,25357810;-1,45265200
-18,09994370;-0,25577300;-1,45718300
-18,08970370;-0,25970740;-1,46109000
-18,07946370;-0,26471680;-1,46499700
-18,06922370;-0,26967750;-1,46624700
-18,05898370;-0,27222080;-1,47015400
-18,04874370;-0,27526260;-1,47156000
-18,03850370;-0,28099110;-1,47453000
-18,02826370;-0,28714160;-1,47796800
-18,01802370;-0,28973310;-1,47874900
-18,00778370;-0,29238110;-1,47968600
-17,99754370;-0,29624860;-1,48312500
-17,98730370;-0,30110350;-1,48531200
-17,97706370;-0,30565200;-1,48624900
-17,96682370;-0,30886630;-1,48843700
-17,95658370;-0,31301190;-1,49015700
-17,94634370;-0,31845270;-1,49062600
-17,93610370;-0,32300140;-1,49156300
-17,92586370;-0,32557150;-1,49281300
-17,91562370;-0,32811870;-1,49343900
-17,90538370;-0,33278120;-1,49468900
-17,89514370;-0,33829850;-1,49593800
-17,88490370;-0,34199990;-1,49718900
-17,87466370;-0,34503180;-1,49828300
-17,86442370;-0,34957020;-1,49922100
-17,85418370;-0,35554790;-1,49953400
-17,84394370;-0,35998090;-1,50094000
-17,83370370;-0,36224550;-1,50125200
-17,82346370;-0,36493250;-1,50281400
-17,81322370;-0,36901060;-1,50312800
-17,80298370;-0,37383780;-1,50344000
-17,79274370;-0,37782060;-1,50531500
-17,78250370;-0,38108370;-1,50578400
-17,77226370;-0,38504660;-1,50640900
-17,76202370;-0,39020900;-1,50640900
-17,75178370;-0,39487240;-1,50781600
-17,74154370;-0,39711810;-1,50812800
-17,73130370;-0,39897950;-1,50765900
-17,72106370;-0,40224910;-1,50984700
-17,71082370;-0,40737660;-1,50953400
-17,70058370;-0,41177100;-1,51156600
-17,69034370;-0,41494850;-1,51109700
-17,68010370;-0,41733470;-1,51172200
-17,66986370;-0,42131670;-1,51187800
-17,65962370;-0,42706440;-1,51281600
